seed,episode,reward,steps,task_completion,drift_recovery,no_spurious_rewrite,policy_grounding,priority_score,efficiency,loop_penalty,total_drift_events,successful_recoveries,agent,curriculum_stage
1000,0,0.7358571428571429,7,1.0,0.6666666666666666,1.0,1.0,1.0,0.4285714285714286,-0.1,1,2,frozen_llm,1
1001,1,0.9497619047619047,5,1.0,1.0,1.0,1.0,0.33333333333333337,0.7142857142857143,-0.0,0,2,frozen_llm,1
1002,2,0.403904761904762,10,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.2857142857142857,-0.1,2,0,frozen_llm,1
1003,3,0.2733333333333334,10,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.0,-0.2,1,0,frozen_llm,1
1004,4,0.6747619047619047,5,1.0,0.5,1.0,1.0,0.33333333333333337,0.7142857142857143,-0.05,1,1,frozen_llm,1
1005,5,0.6691904761904762,7,1.0,0.6666666666666666,1.0,1.0,0.33333333333333337,0.4285714285714286,-0.1,1,2,frozen_llm,1
1006,6,0.7997619047619048,6,1.0,0.6666666666666666,1.0,1.0,0.33333333333333337,0.7142857142857143,-0.0,0,1,frozen_llm,1
1007,7,0.983095238095238,5,1.0,1.0,1.0,1.0,0.6666666666666667,0.7142857142857143,-0.0,0,2,frozen_llm,1
1008,8,0.1733333333333334,10,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.0,-0.3,2,0,frozen_llm,1
1009,9,0.983095238095238,5,1.0,1.0,1.0,1.0,0.6666666666666667,0.7142857142857143,-0.0,0,2,frozen_llm,1
1010,10,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,frozen_llm,1
1011,11,0.4733333333333334,10,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.0,-0.0,1,0,frozen_llm,1
1012,12,0.4733333333333334,10,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.0,-0.0,1,0,frozen_llm,1
1013,13,0.44419047619047614,10,0.3333333333333333,0.16666666666666666,0.5,1.0,1.0,0.4285714285714286,-0.0,1,0,frozen_llm,1
1014,14,0.8483809523809525,4,1.0,0.6666666666666666,1.0,1.0,0.6666666666666667,0.8571428571428572,-0.0,1,1,frozen_llm,1
1015,15,0.3066666666666667,10,0.6666666666666666,0.6666666666666666,1.0,1.0,0.0,0.0,-0.3,0,1,frozen_llm,1
1016,16,0.3733333333333334,10,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.0,-0.1,1,0,frozen_llm,1
1017,17,0.2733333333333334,10,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.0,-0.2,1,0,frozen_llm,1
1018,18,0.9191904761904761,7,1.0,1.0,1.0,1.0,0.33333333333333337,0.4285714285714286,-0.0,1,2,frozen_llm,1
1019,19,0.4733333333333334,10,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.0,-0.0,0,0,frozen_llm,1
1020,20,0.8150476190476191,4,1.0,0.6666666666666666,1.0,1.0,0.33333333333333337,0.8571428571428572,-0.0,0,1,frozen_llm,1
1021,21,0.5816666666666667,10,0.6666666666666666,0.5,1.0,1.0,1.0,0.0,-0.05,2,1,frozen_llm,1
1022,22,0.4733333333333334,10,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.0,-0.0,0,0,frozen_llm,1
1023,23,0.43166666666666675,10,0.6666666666666666,0.5,1.0,1.0,0.0,0.0,-0.1,1,1,frozen_llm,1
1024,24,0.8483809523809525,4,1.0,0.6666666666666666,1.0,1.0,0.6666666666666667,0.8571428571428572,-0.0,0,1,frozen_llm,1
1025,25,0.3566666666666667,10,0.6666666666666666,0.6666666666666666,1.0,1.0,0.0,0.0,-0.25,0,1,frozen_llm,1
1026,26,0.9858571428571428,7,1.0,1.0,1.0,1.0,1.0,0.4285714285714286,-0.0,0,2,frozen_llm,1
1027,27,0.4066666666666667,10,0.6666666666666666,0.6666666666666666,1.0,1.0,0.0,0.0,-0.2,0,1,frozen_llm,1
1028,28,0.8330952380952381,5,1.0,0.6666666666666666,1.0,1.0,0.6666666666666667,0.7142857142857143,-0.0,1,2,frozen_llm,1
1029,29,0.3066666666666667,10,0.6666666666666666,0.4444444444444444,1.0,1.0,0.0,0.0,-0.2,2,1,frozen_llm,1
1030,30,0.9497619047619047,5,1.0,1.0,1.0,1.0,0.33333333333333337,0.7142857142857143,-0.0,0,2,frozen_llm,1
1031,31,0.32333333333333336,10,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.0,-0.15000000000000002,2,0,frozen_llm,1
1032,32,0.708095238095238,7,1.0,0.5,0.5,1.0,0.6666666666666667,0.7142857142857143,-0.05,1,1,frozen_llm,1
1033,33,0.5886190476190476,9,1.0,0.5555555555555555,1.0,1.0,0.33333333333333337,0.1428571428571429,-0.1,2,2,frozen_llm,1
1034,34,0.4733333333333334,10,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.0,-0.0,0,0,frozen_llm,1
1035,35,0.521952380952381,10,0.6666666666666666,0.4444444444444444,1.0,1.0,1.0,0.1428571428571429,-0.1,2,1,frozen_llm,1
1036,36,0.521952380952381,10,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.1428571428571429,-0.2,1,1,frozen_llm,1
1037,37,0.983095238095238,6,1.0,1.0,1.0,1.0,0.6666666666666667,0.7142857142857143,-0.0,0,2,frozen_llm,1
1038,38,0.8150476190476191,4,1.0,0.6666666666666666,1.0,1.0,0.33333333333333337,0.8571428571428572,-0.0,0,1,frozen_llm,1
1039,39,0.3066666666666667,10,0.6666666666666666,0.4444444444444444,1.0,1.0,0.0,0.0,-0.2,2,1,frozen_llm,1
1040,40,0.9497619047619047,5,1.0,1.0,1.0,1.0,0.33333333333333337,0.7142857142857143,-0.0,0,2,frozen_llm,1
1041,41,0.4733333333333334,10,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.0,-0.0,1,0,frozen_llm,1
1042,42,0.983095238095238,5,1.0,1.0,1.0,1.0,0.6666666666666667,0.7142857142857143,-0.0,0,2,frozen_llm,1
1043,43,0.3066666666666667,10,0.6666666666666666,0.4444444444444444,1.0,1.0,1.0,0.0,-0.3,2,1,frozen_llm,1
1044,44,0.8483809523809525,4,1.0,0.6666666666666666,1.0,1.0,0.6666666666666667,0.8571428571428572,-0.0,0,1,frozen_llm,1
1045,45,0.8483809523809525,4,1.0,0.6666666666666666,1.0,1.0,0.6666666666666667,0.8571428571428572,-0.0,0,1,frozen_llm,1
1046,46,0.7872380952380952,9,1.0,1.0,1.0,1.0,0.6666666666666667,0.2857142857142857,-0.15000000000000002,1,2,frozen_llm,1
1047,47,0.8372380952380952,8,1.0,1.0,1.0,1.0,0.6666666666666667,0.2857142857142857,-0.1,0,2,frozen_llm,1
1048,48,0.7997619047619048,5,1.0,0.6666666666666666,1.0,1.0,0.33333333333333337,0.7142857142857143,-0.0,1,2,frozen_llm,1
1049,49,0.0052857142857142825,10,0.0,0.3333333333333333,1.0,1.0,0.0,0.1428571428571429,-0.3,2,0,frozen_llm,1
